PersonID|FullName|PreferredName|SearchName|IsPermittedToLogon|LogonName|IsExternalLogonProvider|IsSystemUser|IsEmployee|IsSalesperson|PhoneNumber|FaxNumber|EmailAddress
1|Data Conversion Only|Data Conversion Only|Data Conversion Only Data Conversion Only|FALSE|NO LOGON|FALSE|FALSE|FALSE|FALSE|||
2|Kayla Woodcock|Kayla|Kayla Kayla Woodcock|TRUE|kaylaw@wideworldimporters.com|FALSE|TRUE|TRUE|TRUE|(415) 555-0102|(415) 555-0103|kaylaw@wideworldimporters.com
3|Hudson Onslow|Hudson|Hudson Hudson Onslow|TRUE|hudsono@wideworldimporters.com|FALSE|TRUE|TRUE|TRUE|(415) 555-0102|(415) 555-0103|hudsono@wideworldimporters.com
4|Isabella Rupp|Isabella|Isabella Isabella Rupp|TRUE|isabellar@wideworldimporters.com|FALSE|TRUE|TRUE|FALSE|(415) 555-0102|(415) 555-0103|isabellar@wideworldimporters.com
5|Eva Muirden|Eva|Eva Eva Muirden|TRUE|evam@wideworldimporters.com|FALSE|TRUE|TRUE|FALSE|(415) 555-0102|(415) 555-0103|evam@wideworldimporters.com
6|Sophia Hinton|Sophia|Sophia Sophia Hinton|TRUE|sophiah@wideworldimporters.com|FALSE|TRUE|TRUE|TRUE|(415) 555-0102|(415) 555-0103|sophiah@wideworldimporters.com
7|Amy Trefl|Amy|Amy Amy Trefl|TRUE|amyt@wideworldimporters.com|FALSE|TRUE|TRUE|TRUE|(415) 555-0102|(415) 555-0103|amyt@wideworldimporters.com
8|Anthony Grosse|Anthony|Anthony Anthony Grosse|TRUE|anthonyg@wideworldimporters.com|FALSE|TRUE|TRUE|TRUE|(415) 555-0102|(415) 555-0103|anthonyg@wideworldimporters.com
9|Alica Fatnowna|Alica|Alica Alica Fatnowna|TRUE|alicaf@wideworldimporters.com|FALSE|TRUE|TRUE|FALSE|(415) 555-0102|(415) 555-0103|alicaf@wideworldimporters.com
10|Stella Rosenhain|Stella|Stella Stella Rosenhain|TRUE|stellar@wideworldimporters.com|FALSE|TRUE|TRUE|FALSE|(415) 555-0102|(415) 555-0103|stellar@wideworldimporters.com
11|Ethan Onslow|Ethan|Ethan Ethan Onslow|TRUE|ethano@wideworldimporters.com|FALSE|TRUE|TRUE|FALSE|(415) 555-0102|(415) 555-0103|ethano@wideworldimporters.com
12|Henry Forlonge|Henry|Henry Henry Forlonge|TRUE|henryf@wideworldimporters.com|FALSE|TRUE|TRUE|FALSE|(415) 555-0102|(415) 555-0103|henryf@wideworldimporters.com
13|Hudson Hollinworth|Hudson|Hudson Hudson Hollinworth|TRUE|hudsonh@wideworldimporters.com|FALSE|TRUE|TRUE|TRUE|(415) 555-0102|(415) 555-0103|hudsonh@wideworldimporters.com
14|Lily Code|Lily|Lily Lily Code|TRUE|lilyc@wideworldimporters.com|FALSE|TRUE|TRUE|TRUE|(415) 555-0102|(415) 555-0103|lilyc@wideworldimporters.com
15|Taj Shand|Taj|Taj Taj Shand|TRUE|tajs@wideworldimporters.com|FALSE|TRUE|TRUE|TRUE|(415) 555-0102|(415) 555-0103|tajs@wideworldimporters.com
16|Archer Lamble|Archer|Archer Archer Lamble|TRUE|archerl@wideworldimporters.com|FALSE|TRUE|TRUE|TRUE|(415) 555-0102|(415) 555-0103|archerl@wideworldimporters.com
17|Piper Koch|Piper|Piper Piper Koch|TRUE|piperk@wideworldimporters.com|FALSE|TRUE|TRUE|FALSE|(415) 555-0102|(415) 555-0103|piperk@wideworldimporters.com
18|Katie Darwin|Katie|Katie Katie Darwin|TRUE|katied@wideworldimporters.com|FALSE|TRUE|TRUE|FALSE|(415) 555-0102|(415) 555-0103|katied@wideworldimporters.com
19|Jai Shand|Jai|Jai Jai Shand|TRUE|jais@wideworldimporters.com|FALSE|TRUE|TRUE|FALSE|(415) 555-0102|(415) 555-0103|jais@wideworldimporters.com
20|Jack Potter|Jack|Jack Jack Potter|TRUE|jackp@wideworldimporters.com|FALSE|TRUE|TRUE|TRUE|(415) 555-0102|(415) 555-0103|jackp@wideworldimporters.com
21|Reio Kabin|Reio|Reio Reio Kabin|TRUE|reio@adatum.com|FALSE|FALSE|FALSE|FALSE|(847) 555-0100|(847) 555-0101|reio@adatum.com
22|Oliver Kivi|Olly|Olly Oliver Kivi|FALSE|NO LOGON|FALSE|FALSE|FALSE|FALSE|(847) 555-0100|(847) 555-0101|olly@adatum.com
23|Hanna Mihhailov|Hanna|Hanna Hanna Mihhailov|FALSE|NO LOGON|FALSE|FALSE|FALSE|FALSE|(360) 555-0100|(360) 555-0101|hannam@contoso.com
24|Paulus Lippmaa|Paulus|Paulus Paulus Lippmaa|FALSE|NO LOGON|FALSE|FALSE|FALSE|FALSE|(360) 555-0100|(360) 555-0101|paulusl@contoso.com
25|Kerstin Parn|Kerstin|Kerstin Kerstin Parn|FALSE|NO LOGON|FALSE|FALSE|FALSE|FALSE|(415) 555-0100|(415) 555-0101|kerstin@consolidatedmessenger.com
26|Helen Ahven|Helen|Helen Helen Ahven|FALSE|NO LOGON|FALSE|FALSE|FALSE|FALSE|(415) 555-0100|(415) 555-0101|helen@consolidatedmessenger.com
27|Bill Lawson|Bill|Bill Bill Lawson|TRUE|billl@fabrikam.com|FALSE|TRUE|FALSE|FALSE|(203) 555-0107|(203) 555-0107|billl@fabrikam.com
28|Helen Moore|Helen|Helen Helen Moore|FALSE|NO LOGON|FALSE|TRUE|FALSE|FALSE|(203) 555-0104|(203) 555-0107|helenm@fabrikam.com
29|Penny Buck|Penny|Penny Penny Buck|FALSE|NO LOGON|FALSE|TRUE|FALSE|FALSE|(406) 555-0107|(406) 555-0109|pennyb@graphicdesigninstitute.com
30|Donna Smith|Donna|Donna Donna Smith|FALSE|NO LOGON|FALSE|TRUE|FALSE|FALSE|(406) 555-0101|(406) 555-0109|donnas@graphicdesigninstitute.com
31|Madelaine  Cartier|Madelaine|Madelaine Madelaine  Cartier|FALSE|NO LOGON|FALSE|TRUE|FALSE|FALSE|(423) 555-0101|(423) 555-0100|madelainec@humongousinsurance.com
32|Annette Talon|Annette|Annette Annette Talon|FALSE|NO LOGON|FALSE|TRUE|FALSE|FALSE|(423) 555-0106|(423) 555-0100|annettet@humongousinsurance.com
33|Elias Myllari|Elias|Elias Elias Myllari|FALSE|NO LOGON|FALSE|TRUE|FALSE|FALSE|(209) 555-0101|(209) 555-0106|eliasm@litwareinc.com
34|Vilma Niva|Vilma|Vilma Vilma Niva|FALSE|NO LOGON|FALSE|TRUE|FALSE|FALSE|(209) 555-0103|(209) 555-0106|vilman@litwareinc.com
35|Prem Prabhu|Prem|Prem Prem Prabhu|FALSE|NO LOGON|FALSE|TRUE|FALSE|FALSE|(423) 555-0102|(423) 555-0108|premp@lucernepublishing.com
36|Sunita Jadhav|Sunita|Sunita Sunita Jadhav|FALSE|NO LOGON|FALSE|TRUE|FALSE|FALSE|(423) 555-0101|(423) 555-0108|sunitaj@lucernepublishing.com
37|Marcos Costa|Marcos|Marcos Marcos Costa|TRUE|marcosc@nodpublishers.com|FALSE|TRUE|FALSE|FALSE|(252) 555-0106|(252) 555-0101|marcosc@nodpublishers.com
38|Matheus Oliveira|Matheus|Matheus Matheus Oliveira|TRUE|matheuso@nodpublishers.com|FALSE|TRUE|FALSE|FALSE|(252) 555-0107|(252) 555-0101|matheuso@nodpublishers.com
39|Eliza Soderberg|Eliza|Eliza Eliza Soderberg|TRUE|elizas@northwindelectriccars.com|FALSE|TRUE|FALSE|FALSE|(201) 555-0101|(201) 555-0106|elizas@northwindelectriccars.com
40|Sara Karlsson|Sara|Sara Sara Karlsson|FALSE|NO LOGON|FALSE|TRUE|FALSE|FALSE|(201) 555-0100|(201) 555-0106|sarak@northwindelectriccars.com
41|Donald Jones|Donald|Donald Donald Jones|FALSE|NO LOGON|FALSE|TRUE|FALSE|FALSE|(605) 555-0101|(605) 555-0101|donaldj@treyresearch.net
42|Sharon Graham|Sharon|Sharon Sharon Graham|FALSE|NO LOGON|FALSE|TRUE|FALSE|FALSE|(605) 555-0106|(605) 555-0101|sharong@treyresearch.net
43|Hai Dam|Hai|Hai Hai Dam|FALSE|NO LOGON|FALSE|TRUE|FALSE|FALSE|(218) 555-0101|(218) 555-0108|haid@thephone-company.com
44|Thanh Dinh|Thanh|Thanh Thanh Dinh|TRUE|thanhd@thephone-company.com|FALSE|TRUE|FALSE|FALSE|(218) 555-0104|(218) 555-0108|thanhd@thephone-company.com
45|Hubert Helms|Hubert|Hubert Hubert Helms|TRUE|huberth@woodgrovebank.com|FALSE|TRUE|FALSE|FALSE|(415) 555-0103|(415) 555-0104|huberth@woodgrovebank.com
46|Donald Small|Donald|Donald Donald Small|TRUE|donalds@woodgrovebank.com|FALSE|TRUE|FALSE|FALSE|(415) 555-0105|(415) 555-0104|donalds@woodgrovebank.com
1001|Waldemar Fisar|Waldemar|Waldemar Waldemar Fisar|TRUE|waldemar@tailspintoys.com|FALSE|FALSE|FALSE|FALSE|(308) 555-0100|(308) 555-0101|waldemar@tailspintoys.com
1002|Laimonis Berzins|Laimonis|Laimonis Laimonis Berzins|FALSE|NO LOGON|FALSE|FALSE|FALSE|FALSE|(308) 555-0100|(308) 555-0101|laimonis@tailspintoys.com
1003|Lorena Cindric|Lorena|Lorena Lorena Cindric|FALSE|NO LOGON|FALSE|FALSE|FALSE|FALSE|(406) 555-0100|(406) 555-0101|lorena@tailspintoys.com
1004|Hung Van Groesen|Hung|Hung Hung Van Groesen|FALSE|NO LOGON|FALSE|FALSE|FALSE|FALSE|(406) 555-0100|(406) 555-0101|hung@tailspintoys.com
1005|Bhaargav Rambhatla|Bhaargav|Bhaargav Bhaargav Rambhatla|FALSE|NO LOGON|FALSE|FALSE|FALSE|FALSE|(480) 555-0100|(480) 555-0101|bhaargav@tailspintoys.com
1006|Mudar Jevtic|Mudar|Mudar Mudar Jevtic|FALSE|NO LOGON|FALSE|FALSE|FALSE|FALSE|(480) 555-0100|(480) 555-0101|mudar@tailspintoys.com
1007|Daniel Roman|Daniel|Daniel Daniel Roman|TRUE|daniel@tailspintoys.com|FALSE|FALSE|FALSE|FALSE|(316) 555-0100|(316) 555-0101|daniel@tailspintoys.com
1008|Leyla Radnia|Leyla|Leyla Leyla Radnia|FALSE|NO LOGON|FALSE|FALSE|FALSE|FALSE|(316) 555-0100|(316) 555-0101|leyla@tailspintoys.com
1009|Johanna Huiting|Johanna|Johanna Johanna Huiting|FALSE|NO LOGON|FALSE|FALSE|FALSE|FALSE|(212) 555-0100|(212) 555-0101|johanna@tailspintoys.com
1010|Robert Ruutli|Robert|Robert Robert Ruutli|FALSE|NO LOGON|FALSE|FALSE|FALSE|FALSE|(212) 555-0100|(212) 555-0101|robert@tailspintoys.com
1011|Biswajeet Thakur|Biswajeet|Biswajeet Biswajeet Thakur|FALSE|NO LOGON|FALSE|FALSE|FALSE|FALSE|(701) 555-0100|(701) 555-0101|biswajeet@tailspintoys.com
1012|Radha Shah|Radha|Radha Radha Shah|FALSE|NO LOGON|FALSE|FALSE|FALSE|FALSE|(701) 555-0100|(701) 555-0101|radha@tailspintoys.com
1013|Kalidas Nadar|Kalidas|Kalidas Kalidas Nadar|FALSE|NO LOGON|FALSE|FALSE|FALSE|FALSE|(423) 555-0100|(423) 555-0101|kalidas@tailspintoys.com
